Covariate	Qreported	Qempirical	nMismatches	nBases
-31	29.584	29.555	25121	22673096
1	31.436	31.445	16512	23028679
-32	29.202	29.190	27308	22663844
-29	29.708	29.745	24089	22714751
2	31.234	31.355	16892	23074816
-30	29.659	29.712	24255	22697105
3	31.586	31.660	15745	23075600
-27	29.866	29.928	23115	22736723
4	31.986	31.948	14632	22914427
-28	29.770	29.847	23542	22728652
5	32.128	32.127	14140	23077367
-25	30.094	30.077	22371	22770318
6	32.193	32.105	14212	23076972
-26	29.938	29.948	23025	22749014
7	32.120	32.092	14258	23082374
-23	30.146	30.163	21959	22799036
8	32.062	32.021	14499	23088791
-24	30.172	30.162	21953	22787260
9	32.006	31.969	14672	23088028
-21	30.328	30.331	21141	22816096
10	31.933	31.856	15059	23090075
11	32.086	31.971	14665	23088423
-22	30.292	30.309	21241	22806938
12	32.037	31.956	14718	23089502
-19	30.481	30.444	20624	22846233
13	31.967	31.914	14861	23091150
-20	30.454	30.434	20662	22836006
14	31.948	31.907	14885	23092190
-17	30.568	30.599	19915	22860121
15	31.919	31.834	15135	23090033
-18	30.319	30.334	21163	22853423
17	31.777	31.707	15585	23086638
-16	30.518	30.580	20005	22864710
16	31.817	31.779	15330	23089618
-15	30.689	30.681	19555	22877028
19	31.687	31.619	15903	23087681
-14	30.736	30.707	19448	22885983
18	31.711	31.613	15926	23087664
-13	30.653	30.710	19438	22890929
21	31.534	31.437	16576	23075242
-12	30.742	30.793	19073	22891482
20	31.613	31.509	16308	23084204
-11	30.658	30.786	19105	22896201
23	31.286	31.233	17363	23066102
-10	30.635	30.734	19343	22902601
22	31.460	31.402	16705	23071970
-9	30.648	30.720	19409	22908099
25	31.402	31.327	16982	23050458
-8	30.685	30.928	18502	22911999
24	31.322	31.251	17287	23059729
-7	28.367	27.923	36931	22890007
27	30.672	30.581	20140	23023355
-6	30.601	30.807	19018	22899138
26	30.956	30.876	18822	23028157
-5	30.396	30.622	19850	22907327
29	30.535	30.436	20810	23008577
-4	30.233	30.480	20507	22903311
28	30.514	30.431	20844	23016452
-3	30.264	30.371	21027	22902598
-2	31.106	31.317	16909	22898962
31	30.610	30.537	20305	22976255
-1	26.311	26.151	55070	22700349
30	30.436	30.328	21325	22996608
34	30.020	29.972	23101	22953551
-61	29.604	29.702	23609	22044503
35	30.369	30.319	21318	22941911
-62	29.174	29.373	25450	22031128
32	30.272	30.208	21892	22967610
-63	29.109	29.292	25902	22006397
33	30.064	29.996	22984	22961966
-64	29.182	29.361	25469	21982071
38	30.691	30.646	19748	22915202
-57	29.288	29.485	24979	22186356
39	30.647	30.667	19644	22903606
-58	29.421	29.709	23704	22168241
