Covariate	Qreported	Qempirical	nMismatches	nBases
1	1.000	0.865	480204	586066
2	2.000	11.308	8334849	112631613
3	3.000	2.904	210539	410903
4	4.000	3.994	336956	845222
5	5.000	4.945	242097	755960
6	6.000	5.922	194177	759298
7	7.000	6.998	153562	769257
8	8.000	7.927	156167	968824
9	9.000	8.720	207426	1544673
10	10.000	9.940	180602	1781205
11	11.000	10.897	146573	1802186
12	12.000	11.929	135061	2106088
13	13.000	12.943	127932	2519497
14	14.000	13.974	107843	2692623
15	15.000	15.083	101865	3283420
17	17.000	16.293	107867	4593923
16	16.000	15.642	107251	3932087
19	19.000	19.125	83752	6847195
18	18.000	17.921	91981	5698354
21	21.000	20.196	170791	17866620
20	20.000	19.631	112439	10327813
23	23.000	22.654	198185	36511999
22	22.000	21.324	213605	28975234
25	25.000	25.473	161227	56854592
24	24.000	24.189	212058	55629737
27	27.000	28.080	154949	99579147
26	26.000	26.987	120593	60258253
29	29.000	29.858	87447	84624268
28	28.000	29.132	93162	76277812
31	31.000	31.654	131777	192854086
30	30.000	30.584	105219	120360888
34	34.000	33.738	294537	696598306
35	35.000	34.680	209195	614568112
32	32.000	32.520	189503	338561985
33	33.000	33.075	183382	372232651
38	38.000	36.174	97280	403144568
39	39.000	36.781	4848	23102528
36	36.000	34.872	113924	349783977
37	37.000	35.422	96705	337036286
42	42.000	50.000	0	8481
40	40.000	37.121	16	82448
41	41.000	37.867	6	36718
