Covariate	Qreported	Qempirical	nMismatches	nBases
-31	29.107	28.471	32257	22683747
1	36.428	31.443	16517	23028630
-32	29.263	28.137	34824	22675118
-29	30.023	28.536	31838	22729100
2	35.296	31.347	16920	23074991
-30	29.996	28.528	31870	22709748
3	35.009	31.621	15887	23076471
-27	30.107	28.869	29518	22748906
4	35.021	31.865	14914	22915744
-28	30.178	28.768	30196	22740454
5	33.924	32.043	14418	23078331
-25	30.816	29.139	27778	22781567
6	34.146	31.910	14868	23079966
-26	29.902	29.137	27758	22756969
7	34.313	31.924	14824	23084831
-23	30.906	29.336	26575	22808721
8	34.370	31.871	15009	23091010
-24	30.891	29.237	27175	22798331
9	34.346	31.780	15327	23090126
-21	30.705	29.675	24597	22823068
10	34.340	31.659	15759	23092270
11	33.683	31.714	15562	23091427
-22	30.859	29.495	25629	22816801
12	33.876	31.708	15584	23092273
-19	31.566	29.744	24244	22855749
13	33.932	31.688	15656	23093639
-20	31.530	29.719	24373	22845129
14	33.902	31.612	15934	23095045
-17	31.508	30.012	22804	22868080
15	33.903	31.555	16144	23092451
-18	31.472	29.704	24476	22861893
17	33.295	31.346	16937	23089903
-16	31.304	30.124	22227	22869809
16	33.067	31.493	16376	23091828
-15	32.076	30.173	21991	22884454
19	33.348	31.232	17389	23090734
-14	32.077	30.207	21830	22893603
18	33.359	31.262	17266	23090610
-13	32.040	30.235	21692	22897850
21	32.352	31.001	18327	23078353
-12	31.940	30.316	21293	22899028
20	33.237	31.100	17920	23087240
-11	31.700	30.429	20746	22900811
23	32.486	30.669	19777	23070320
-10	31.999	30.394	20921	22908169
22	32.531	30.914	18696	23075584
-9	31.970	30.403	20882	22913731
25	32.524	30.732	19479	23054498
-8	31.984	30.742	19314	22914734
24	32.475	30.658	19823	23063968
-7	31.355	27.366	42015	22909090
27	30.963	29.679	24796	23030512
-6	31.717	30.581	20033	22903121
26	30.727	29.947	23317	23035066
-5	30.913	30.520	20323	22909412
29	30.957	29.465	26034	23016107
-4	31.395	30.349	21138	22906356
28	30.965	29.495	25865	23024058
-3	31.980	30.251	21623	22907003
