Covariate	Qreported	Qempirical	nMismatches	nBases
2	2.000	11.401	8135940	112324197
4	4.000	3.687	169131	395279
5	5.000	4.914	147980	458806
6	6.000	5.903	274370	1068170
7	7.000	6.697	289176	1351506
8	8.000	7.849	272321	1659489
9	9.000	8.575	282366	2034037
10	10.000	9.707	310844	2905351
11	11.000	10.406	300147	3295637
12	12.000	11.946	198644	3109291
13	13.000	11.816	471800	7166763
14	14.000	14.841	152771	4657220
15	15.000	16.529	80922	3638631
17	17.000	18.378	77711	5349653
16	16.000	17.655	70058	4083012
19	19.000	19.825	87415	8397204
18	18.000	19.513	77174	6899392
21	21.000	22.237	80952	13550219
20	20.000	20.023	119898	12054338
23	23.000	24.169	56267	14695440
22	22.000	23.582	55485	12656877
25	25.000	25.872	52753	20392043
24	24.000	25.018	54032	17157710
27	27.000	27.204	58684	30827765
26	26.000	26.017	55425	22151713
29	29.000	28.375	51788	35623848
28	28.000	27.056	66574	33797127
31	31.000	28.922	87450	68229929
30	30.000	27.760	79397	47405068
34	34.000	30.289	89430	95587556
35	35.000	30.657	158616	184511168
32	32.000	29.134	60447	49522628
33	33.000	29.270	147109	124352308
38	38.000	32.127	263924	430731547
39	39.000	33.100	981356	2003810761
36	36.000	31.053	242261	308706204
37	37.000	31.643	294135	429424474
40	40.000	33.008	2913	5822673
